name,eventCount,seasons,bestResult,lastResult,wonLost,titles,wonPct
Tokyo,2,2010-2011,W,F,09-Jan,1,90.00%
Adelaide,1,2017,F,SF,02-Jan,0,66.70%
Auckland,2,2004-2005,F,F,04-Feb,0,66.70%
US Open,15,"2003-2011, 2013, 2015-2019",W,W,64-11,4,85.30%
Wimbledon,14,"2003, 2005-2008, 2010-2015, 2017-2019",W,SF,53-12,2,81.50%
Tour Finals,9,"2006-2007, 2009-2011, 2013, 2015, 2017, 2019",F,RR,18-14,0,56.30%
Hamburg,4,"2003, 2007-2008, 2015",W,W,16-Feb,2,88.90%
Canada Masters,13,"2004-2011, 2013, 2015, 2017-2019",W,W,38-8,5,82.60%
London,6,"2006-2008, 2010-2011, 2015",W,F,13-May,1,72.20%
Stuttgart,5,"2003-2005, 2007, 2015",W,W,17-Feb,3,89.50%
Marseille,1,2006,F,SF,03-Jan,0,75.00%
Milan,1,2004,W,RR,01-Jan,0,50.00%
Palermo,1,2004,W,SF,01-Jan,0,50.00%
Pune,3,"2004, 2007-2008",F,F,07-Mar,0,70.00%
